,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
0,Patalliro!,Toei Animation,49,"[Adventure, Comedy, Romance, Shoujo, Shounen Ai]",Manga,TV,7.62,"2,748",Spring,1982
1,Mahou no Princess Minky Momo,Production Reed,63,"[Magic, Shoujo]",Original,TV,6.77,"2,524",Spring,1982
2,Kikou Kantai Dairugger XV,Toei Animation,52,"[Action, Adventure, Mecha, Sci-Fi, Shounen]",-,TV,6.56,"1,228",Spring,1982
3,Ochamegami Monogatari: Korokoro Pollon,-,46,"[Parody, Magic, Comedy]",Manga,TV,7.13,"1,169",Spring,1982
4,Tezuka Osamu no Don Dracula,-,8,"[Comedy, Horror, Supernatural, Vampire]",Manga,TV,6.38,"1,057",Spring,1982
5,Tondera House no Daibouken,Tatsunoko Production,52,"[Adventure, Historical, Sci-Fi]",Original,TV,6.5,681,Spring,1982
6,Kagaku Kyuujo-tai TechnoVoyager,Toei Animation,18,"[Action, Adventure, Mecha, Sci-Fi, Space]",-,TV,6.44,432,Spring,1982
7,Makyou Densetsu Acrobunch,-,24,"[Mecha, Sci-Fi, Shounen]",-,TV,6.47,352,Spring,1982
8,Anime Yasei no Sakebi,-,22,"[Adventure, Drama]",-,TV,6.88513427562,206,Spring,1982
9,Haguregumo,"Madhouse, Toei Animation",1,"[Comedy, Historical, Seinen]",-,Movie,6.88513427562,252,Spring,1982
10,Sengoku Majin Goushougun (Movie),Production Reed,1,"[Mecha, Parody, Sci-Fi]",-,Movie,6.88513427562,229,Spring,1982
11,Ginga Tetsudou 999: Shounen no Tabidachi to Wakare,Toei Animation,1,"[Adventure, Space, Drama, Sci-Fi]",-,Special,6.88513427562,223,Spring,1982
12,Shiroi Kiba White Fang Monogatari,Sunrise,1,"[Adventure, Historical, Drama]",Novel,Special,6.88513427562,210,Spring,1982
13,Son Gokuu Silk Road wo Tobu!!,-,1,"[Adventure, Fantasy]",-,Special,6.88513427562,85,Spring,1982
14,Akachan to Boku,Studio Pierrot,35,"[Comedy, Drama, Shoujo]",Manga,TV,8.01,"9,322",Summer,1996
15,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),Studio Gallop,373,"[Comedy, Police, Slice of Life]",Manga,TV,7.81,"5,382",Summer,1996
16,Ganbarist! Shun,Sunrise,30,"[Comedy, Shounen, Sports]",Manga,TV,7.39,"1,842",Summer,1996
17,Gunsmith Cats,OLM,3,"[Action, Comedy, Police, Seinen]",Manga,OVA,7.26,"16,824",Summer,1996
18,Tetsuwan Birdy,Madhouse,4,"[Action, Comedy, Sci-Fi, Shounen]",Manga,OVA,7.21,"15,218",Summer,1996
19,Slayers Special,J.C.Staff,3,"[Adventure, Comedy, Supernatural, Magic, Fantasy, Shounen]",Light novel,OVA,7.46,"13,422",Summer,1996
20,Byston Well Monogatari: Garzey no Tsubasa,J.C.Staff,3,[Fantasy],Original,OVA,4.06,"6,845",Summer,1996
21,Jikuu Bouken Nuumamonjaa,Production I.G,1,"[Action, Fantasy, Comedy]",-,OVA,5.35,"5,437",Summer,1996
22,Blue Seed 2,Production I.G,3,"[Action, Comedy, Drama, Ecchi, Horror, Mystery, Sci-Fi, Supernatural]",-,OVA,6.58,"3,984",Summer,1996
23,Aozora Shoujo-tai,-,7,"[Action, Comedy, Military, Romance, Shounen]",-,OVA,6.63,"3,899",Summer,1996
24,Shadow Skill (1996),Zero-G Room,3,"[Adventure, Drama, Fantasy, Shounen]",-,OVA,6.72,"3,373",Summer,1996
25,Maze☆Bakunetsu Jikuu,J.C.Staff,2,"[Adventure, Comedy, Fantasy, Mecha, Shounen]",Manga,OVA,6.26,"1,954",Summer,1996
26,Choujin Gakuen Gowcaizer: The Voltage Fighters,J.C.Staff,3,"[Action, Sci-Fi, Ecchi, Martial Arts, Shounen]",Original,OVA,5.18,"1,791",Summer,1996
27,Twin Signal: Family Game,-,3,"[Action, Comedy, Mecha, Sci-Fi]",-,OVA,6.5,"1,082",Summer,1996
28,Shin Hurricane Polymar,"J.C.Staff, Tatsunoko Production",2,"[Action, Martial Arts, Super Power, Sci-Fi]",-,OVA,6.05,851,Summer,1996
29,Jigokudou Reikai Tsuushin,-,1,"[Fantasy, Horror]",-,OVA,6.44,516,Summer,1996
